Bootstrap,Bootstrap Case,What is the use of Jumbotron in Bootstrap?,"In bootstrap, Jumbotron is generally used for content , that you want to highlight like some slogan or marketing headline etc in other words it is used to enlarge the size of the headings and to add a margin for landing page content.",1
C++,Inheritance,Which of the  advantages we lose by using multiple inheritance?,"Dynamic binding and Polymorphism. The benefit of dynamic binding and polymorphism is that they help making the code easier to extend but by multiple inheritance it makes harder to track.",2
C++,Polymorphism,What is Polymorphism?,"Polymorphism means the ability to take more than one form. An operation may exhibit different behavior in different instances. The behavior depends on the types of data used in the operation.",2
C,C Preprocessors,What is Preprocessor?,"The C Preprocessor is not part of the compiler, but is a separate step in the compilation process. In simplistic terms, a C Preprocessor is just a text substitution tool and they instruct compiler to do required pre-processing before actual compilation.",2
Java,Interfaces,How can we implement multiple inheritances in java?,"Java does not support multiple inheritances. However, interfaces can be used in place of multiple inheritances. That does not mean that interfaces are a substitute to multiple inheritances.",3
java,Applet,For what do you use the start() method?,"You use the start() method when the applet must perform a task after it is initialized, before receiving user input. The start() method either performs the applet's work or (more likely) starts up one or more threads to perform the work.",3
CSS,Selectors,What are selectors in CSS?,Selectors help to select an element to which you want to apply a style.,2
C,Pointers,What is NULL pointer?,"A pointer that points to a no valid location is known as null pointer. Null pointers are useful to indicate special cases. For example, no next node pointer in case of a linked list. An indication of errors that pointers returned from functions.",1
Django,Templates,Mention what does the Django templates consists of?,"The template is a simple text file. It can create any text-based format like XML, CSV, HTML, etc. A template contains variables that get replaced with values when the template is evaluated and tags (%  tag %) that controls the logic of the template.",2
Python,Classes/Objects,Is there any reason for a class declaration to inherit from object?,"Yes, this is a new style object. It was a feature introduced in python2.2.  New style objects have a different object model to classic objects,  and some things won`t work properly with old style objects, for instance, super(), @property and descriptors.",1
python,Data Structures,"What are the differences between list,tuple and dictionary ?","List is a container for storing an identical objects. Tuple is a container for storing non-identical objects. Lists are generally being iterated on , where as tuple is used in struct unpacking. Dictionary is a datastructure used for storing and retriving objects based on some key.",3
Jquery,DOM,How do you add an HTML element in DOM tree?,"You can use jQuery method appendTo() to add an HTML element in DOM tree. This is one of the many DOM manipulation method jQuery provides. You can add an existing element or a new HTML element, appendTo() add that method in the end of a particular DOM element.",2
JavaScript,History Management,What does an History object contain?,The history object contains the URLs visited by the user (within a browser window).,3
